10000,19998
6415,1
6445,1
6879,1
9270,2
5878,3
9010,3
3539,4
6602,4
1065,5
1581,5
9397,5
8134,7
9387,8
7896,10
2196,11
2354,11
3824,13
4156,13
8850,14
7583,15
2951,16
6029,16
2118,17
6083,17
6108,17
651,18
8711,19
2447,20
3785,20
6373,23
7392,23
7736,23
5003,24
7924,24
18,26
1736,26
9531,27
617,28
7002,29
8545,29
565,30
7432,30
39,31
801,31
4582,31
5035,31
5684,31
3873,33
8801,33
9780,34
3044,35
4977,35
1486,36
8210,36
8240,36
8250,36
3218,37
4004,37
9536,37
1483,38
1651,38
2480,38
6694,38
7216,38
8742,38
1907,39
2309,39
6453,39
3150,40
8261,41
7203,42
8272,42
1346,43
3712,43
4848,43
6216,43
9186,43
8195,44
346,45
338,46
4221,46
8519,46
9703,47
345,48
971,48
1005,48
2980,48
4010,48
2154,49
7531,49
9071,49
6872,50
9275,51
4347,52
7290,52
8492,52
327,53
7571,53
7651,55
7893,55
8019,55
8937,55
689,56
683,57
4925,57
6881,57
2111,58
3829,58
9372,58
6713,60
9238,60
1762,61
8446,61
8785,61
141,62
5890,62
2463,63
6521,64
3101,65
9695,66
3158,67
7057,67
7037,68
21,70
2728,70
6561,70
8443,72
9764,72
7594,74
3651,76
5839,76
6264,76
8752,76
2083,77
6435,78
8292,78
4148,79
4207,79
5914,80
611,81
2175,81
2506,81
6385,81
8809,81
4038,82
6061,82
1508,83
3444,83
3433,84
3172,85
6216,85
6435,85
8487,85
9048,85
6479,86
8772,87
638,88
1722,88
4147,89
4299,89
7043,89
9429,89
181,90
5204,90
7000,90
8201,90
3380,91
6004,91
9598,91
2764,92
3324,92
5106,92
5110,92
8406,92
9328,92
1423,93
3081,93
6603,93
8865,94
165,95
2592,95
2728,95
5826,95
8119,95
9442,95
2640,96
8925,96
3347,97
4756,97
5573,97
162,98
2173,98
5394,98
9509,98
633,99
5838,99
6690,101
9146,101
3245,102
6963,102
8608,102
9444,102
7672,103
6992,104
6917,105
9284,105
2974,106
3886,106
9749,106
4932,107
5469,107
8589,107
6735,108
4980,109
6455,109
387,110
9622,110
541,111
959,112
2040,112
3159,112
4278,112
9346,112
5460,113
6263,113
7209,113
7607,113
2675,114
6670,114
1540,115
5492,116
